        MR        MRT         R2
 5.209E+02  1.514E+02  8.444E-02
 5.811E+02  4.262E+02  5.379E-01
 8.738E+02  4.656E+02  2.839E-01
 5.864E+02  4.385E+02  5.592E-01
 8.880E+02  6.300E+02  5.034E-01
 5.894E+02  4.207E+02  5.095E-01
 8.994E+02  4.140E+02  2.119E-01
 8.108E+02  4.770E+02  3.461E-01
 8.353E+02  5.347E+02  4.097E-01
 9.265E+02  3.088E+02  1.111E-01
 1.067E+03  4.752E+02  1.982E-01
 7.864E+02  4.611E+02  3.438E-01
 1.070E+03  7.932E+02  5.493E-01
 2.299E+03  8.736E+02  1.444E-01
 5.844E+02  3.778E+02  4.179E-01
 1.067E+03  2.407E+02  5.084E-02
 6.918E+02  2.996E+01  1.875E-03
 1.249E+03  5.013E+02  1.610E-01
 7.847E+02  3.025E+02  1.486E-01
 6.263E+02  4.537E+02  5.248E-01
 1.626E+03  1.066E+03  4.294E-01
 2.297E+03  5.919E+02  6.638E-02
 4.744E+02  1.605E+02  1.145E-01
 1.074E+03  5.642E+02  2.758E-01
 1.114E+03  7.393E+02  4.405E-01
 8.082E+02  2.802E+02  1.202E-01
 1.033E+03  6.801E+02  4.332E-01
 1.225E+03  7.224E+02  3.478E-01
 1.326E+03  7.226E+02  2.969E-01
 2.024E+03  8.243E+02  1.659E-01
 6.948E+02  4.061E+02  3.415E-01
 7.116E+02  4.548E+02  4.086E-01
 4.022E+02  2.753E+02  4.683E-01
 2.578E+03  1.821E+02  4.990E-03
 9.000E+02  3.382E+02  1.412E-01
 9.940E+02  3.854E+02  1.504E-01
 1.172E+03  4.461E+02  1.449E-01
 9.857E+02  4.599E+02  2.177E-01
 5.994E+02  2.393E+02  1.595E-01
 8.384E+02  4.012E+02  2.290E-01
 1.016E+03  4.271E+02  1.768E-01
 7.106E+02  2.920E+02  1.689E-01
 6.161E+02  4.425E+02  5.157E-01
 7.651E+02  1.774E+02  5.376E-02
 5.177E+02  4.766E+02  8.478E-01
 9.667E+02  6.792E+02  4.937E-01
 5.938E+02  5.726E+02  9.297E-01
 1.230E+03  3.586E+02  8.503E-02
 7.040E+02  1.904E+02  7.312E-02
 5.890E+02  4.221E+02  5.136E-01
 9.877E+02  1.999E+02  4.095E-02
 6.181E+02  2.803E+02  2.057E-01
 1.111E+03  3.674E+02  1.095E-01
 8.614E+02  2.761E+02  1.027E-01
 1.455E+03  2.740E+02  3.546E-02
